Period;Days;Daily returns' sum;(Daily returns' sum)^2;Average daily yield;Daily returns' variance;Daily volatility;Annual volatility
Deal pending;312;0.37755345594226863;0.16848633804494212;0.0012101072305841943;0.0005402876459098853;0.023244088407805657;0.3675213075149131
Post closing;22;0.0029335296794148723;0.00806563674325873;0.00013334225815522145;0.00038405931332318626;0.019597431294003462;0.3098625958885592
Pre announcement;9;0.01904894009233174;0.0015702021517269903;0.002116548899147971;0.00019123551731807872;0.013828793053556002;0.21865241670175906
