Date;COF
2024-02-05;131.369873046875
2024-02-06;130.5053253173828
2024-02-07;130.1361846923828
2024-02-08;131.50584411621094
2024-02-09;131.8863525390625
2024-02-12;134.14022827148438
2024-02-13;130.28619384765625
2024-02-14;131.8278045654297
2024-02-15;133.0474395751953
2024-02-16;133.8963165283203
2024-02-20;134.05242919921875
2024-02-21;131.73023986816406
2024-02-22;131.29119873046875
2024-02-23;132.2278594970703
2024-02-26;131.22288513183594
2024-02-27;133.49627685546875
2024-02-28;134.27684020996094
2024-02-29;134.26708984375
2024-03-01;133.44749450683594
2024-03-04;132.6864471435547
2024-03-05;134.2183074951172
2024-03-06;132.44252014160156
2024-03-07;134.30609130859375
2024-03-08;133.8963165283203
2024-03-11;135.09642028808594
2024-03-12;136.8624725341797
2024-03-13;137.19419860839844
2024-03-14;136.04287719726562
2024-03-15;132.25711059570312
2024-03-18;132.95962524414062
2024-03-19;133.5255584716797
2024-03-20;138.3260498046875
2024-03-21;139.7017822265625
2024-03-22;137.73086547851562
2024-03-25;137.1356658935547
2024-03-26;137.4088592529297
2024-03-27;140.99948120117188
2024-03-28;145.27305603027344
2024-04-01;141.770263671875
2024-04-02;140.9019012451172
2024-04-03;139.7895965576172
2024-04-04;138.6772918701172
2024-04-05;140.03350830078125
2024-04-08;140.42381286621094
2024-04-09;140.03350830078125
2024-04-10;136.54049682617188
2024-04-11;136.93075561523438
2024-04-12;136.22825622558594
2024-04-15;135.79893493652344
2024-04-16;133.0962371826172
2024-04-17;133.44749450683594
2024-04-18;138.18943786621094
2024-04-19;139.43836975097656
2024-04-22;143.6728973388672
2024-04-23;144.30711364746094
2024-04-24;145.25355529785156
2024-04-25;142.4239959716797
2024-04-26;142.65818786621094
2024-04-29;141.9654083251953
2024-04-30;139.94570922851562
2024-05-01;138.19920349121094
2024-05-02;138.36505126953125
2024-05-03;138.9505157470703
2024-05-06;139.84811401367188
2024-05-07;139.09681701660156
2024-05-08;139.36026000976562
2024-05-09;139.028564453125
2024-05-10;139.68502807617188
2024-05-13;139.33226013183594
2024-05-14;140.1945343017578
2024-05-15;141.43893432617188
2024-05-16;138.20547485351562
2024-05-17;138.95016479492188
2024-05-20;137.7841339111328
2024-05-21;137.5881805419922
2024-05-22;136.61814880371094
2024-05-23;134.71728515625
2024-05-24;134.84466552734375
2024-05-28;133.8647918701172
2024-05-29;132.9143829345703
2024-05-30;133.43368530273438
2024-05-31;134.8544464111328
2024-06-03;134.354736328125
2024-06-04;131.76797485351562
2024-06-05;132.74781799316406
2024-06-06;133.61984252929688
2024-06-07;136.98069763183594
2024-06-10;138.05850219726562
2024-06-11;132.41465759277344
2024-06-12;134.3351593017578
2024-06-13;132.3656768798828
2024-06-14;131.0037078857422
2024-06-17;134.3351593017578
2024-06-18;134.5703125
2024-06-20;135.34439086914062
2024-06-21;134.01177978515625
2024-06-24;134.90342712402344
2024-06-25;132.14031982421875
2024-06-26;134.01177978515625
2024-06-27;131.32704162597656
2024-06-28;135.6579132080078
2024-07-01;136.8826904296875
2024-07-02;137.64698791503906
2024-07-03;135.62850952148438
2024-07-05;133.25732421875
2024-07-08;133.07113647460938
2024-07-09;134.2273712158203
2024-07-10;133.85501098632812
2024-07-11;136.18702697753906
2024-07-12;135.6187286376953
2024-07-15;141.6936798095703
2024-07-16;146.54385375976562
2024-07-17;146.4556884765625
2024-07-18;145.72079467773438
2024-07-19;144.30003356933594
2024-07-22;142.18359375
2024-07-23;142.56573486328125
2024-07-24;143.4573974609375
2024-07-25;145.10350036621094
2024-07-26;146.347900390625
2024-07-29;146.053955078125
2024-07-30;149.1796112060547
2024-07-31;148.34674072265625
2024-08-01;140.98818969726562
2024-08-02;133.37489318847656
2024-08-05;128.76968383789062
2024-08-06;130.99392700195312
2024-08-07;129.6221466064453
2024-08-08;131.66018676757812
2024-08-09;132.09130859375
2024-08-12;130.03431701660156
2024-08-13;131.88462829589844
2024-08-14;133.80384826660156
2024-08-15;134.945556640625
2024-08-16;137.35684204101562
2024-08-19;140.67364501953125
2024-08-20;139.27606201171875
2024-08-21;137.57337951660156
2024-08-22;137.2781219482422
2024-08-23;140.28982543945312
2024-08-26;140.27012634277344
2024-08-27;140.13235473632812
2024-08-28;141.8743896484375
2024-08-29;143.0751190185547
2024-08-30;144.61050415039062
2024-09-03;143.301513671875
2024-09-04;141.5004119873047
2024-09-05;139.846923828125
2024-09-06;136.80569458007812
2024-09-09;140.348876953125
2024-09-10;135.8116455078125
2024-09-11;134.30580139160156
2024-09-12;135.36871337890625
2024-09-13;136.7761688232422
2024-09-16;138.72491455078125
2024-09-17;142.78973388671875
2024-09-18;143.13418579101562
2024-09-19;150.6339111328125
2024-09-20;149.8760528564453
2024-09-23;148.86231994628906
2024-09-24;145.02389526367188
2024-09-25;144.01998901367188
2024-09-26;145.4470977783203
2024-09-27;146.73641967773438
2024-09-30;147.36630249023438
2024-10-01;144.48255920410156
2024-10-02;144.2069854736328
2024-10-03;142.90782165527344
2024-10-04;151.0177459716797
2024-10-07;149.60047912597656
2024-10-08;147.13995361328125
2024-10-09;149.40362548828125
2024-10-10;148.74423217773438
2024-10-11;153.22238159179688
2024-10-14;154.1376953125
2024-10-15;154.25579833984375
2024-10-16;155.5746612548828
2024-10-17;157.22813415527344
2024-10-18;156.5194854736328
2024-10-21;154.54122924804688
2024-10-22;153.55702209472656
2024-10-23;151.81495666503906
2024-10-24;150.84059143066406
2024-10-25;158.72413635253906
2024-10-28;162.7593994140625
2024-10-29;160.4169921875
2024-10-30;164.1373291015625
2024-10-31;160.22012329101562
2024-11-01;161.31260681152344
2024-11-04;158.73397827148438
2024-11-05;163.42869567871094
2024-11-06;187.9552764892578
2024-11-07;181.90237426757812
2024-11-08;182.28622436523438
2024-11-11;187.20729064941406
2024-11-12;183.8412628173828
2024-11-13;182.60116577148438
2024-11-14;180.69544982910156
2024-11-15;182.8085174560547
2024-11-18;180.55722045898438
2024-11-19;178.7206573486328
2024-11-20;178.41455078125
2024-11-21;180.33999633789062
2024-11-22;184.70431518554688
2024-11-25;189.4735107421875
2024-11-26;189.03903198242188
2024-11-27;188.88107299804688
2024-11-29;189.59201049804688
2024-12-02;185.15855407714844
2024-12-03;184.70431518554688
2024-12-04;183.1639862060547
2024-12-05;183.2331085205078
2024-12-06;185.59300231933594
2024-12-09;182.39382934570312
2024-12-10;181.61373901367188
2024-12-11;183.70704650878906
2024-12-12;182.4234161376953
2024-12-13;182.2061767578125
2024-12-16;182.77890014648438
2024-12-17;178.89837646484375
2024-12-18;172.24325561523438
2024-12-19;173.44789123535156
2024-12-20;176.4002227783203
2024-12-23;177.70361328125
2024-12-24;179.82652282714844
2024-12-26;180.0635223388672
2024-12-27;177.95046997070312
2024-12-30;175.6892852783203
2024-12-31;176.07440185546875
2025-01-02;176.45950317382812
2025-01-03;178.15782165527344
2025-01-06;181.20892333984375
2025-01-07;179.5994415283203
2025-01-08;177.87147521972656
2025-01-10;173.08255004882812
2025-01-13;178.05908203125
2025-01-14;182.39382934570312
2025-01-15;188.27874755859375
2025-01-16;186.06695556640625
2025-01-17;188.56509399414062
2025-01-21;190.77688598632812
2025-01-22;198.399658203125
2025-01-23;201.46063232421875
2025-01-24;200.96693420410156
2025-01-27;199.9597625732422
2025-01-28;200.5620880126953
2025-01-29;201.34214782714844
2025-01-30;202.04319763183594
2025-01-31;201.1446533203125
2025-02-03;198.37991333007812
2025-02-04;197.59986877441406
2025-02-05;201.21377563476562
2025-02-06;204.03775024414062
2025-02-07;200.6509552001953
2025-02-10;196.28660583496094
2025-02-11;196.7704315185547
2025-02-12;194.06494140625
2025-02-13;194.82525634765625
2025-02-14;199.6141815185547
2025-02-18;200.8422088623047
2025-02-19;207.79443359375
2025-02-20;203.38739013671875
2025-02-21;198.26730346679688
2025-02-24;197.99002075195312
2025-02-25;192.0380401611328
2025-02-26;194.87042236328125
2025-02-27;195.07838439941406
2025-02-28;198.6139373779297
2025-03-03;194.28611755371094
2025-03-04;183.11500549316406
2025-03-05;184.1548614501953
2025-03-06;174.4296875
2025-03-07;171.49826049804688
2025-03-10;162.2880096435547
2025-03-11;163.80325317382812
2025-03-12;168.80450439453125
2025-03-13;164.5163116455078
2025-03-14;170.21078491210938
2025-03-17;163.6645965576172
2025-03-18;167.15061950683594
2025-03-19;170.9337615966797
2025-03-20;172.78570556640625
2025-03-21;173.13232421875
2025-03-24;179.11399841308594
2025-03-25;180.6787567138672
2025-03-26;178.0939483642578
2025-03-27;176.43016052246094
2025-03-28;171.85476684570312
2025-03-31;177.56907653808594
2025-04-01;176.49951171875
2025-04-02;180.4212646484375
2025-04-03;162.4563751220703
2025-04-04;149.11642456054688
2025-04-07;153.17684936523438
2025-04-08;150.87925720214844
2025-04-09;173.22145080566406
2025-04-10;160.59454345703125
2025-04-11;159.41603088378906
2025-04-14;160.95108032226562
2025-04-15;161.96121215820312
2025-04-16;158.51480102539062
2025-04-17;161.19866943359375
2025-04-21;163.56558227539062
2025-04-22;168.55691528320312
2025-04-23;174.75650024414062
2025-04-24;183.26356506347656
2025-04-25;180.9659423828125
2025-04-28;181.3621063232422
2025-04-29;181.3125762939453
2025-04-30;178.51979064941406
2025-05-01;178.48020935058594
2025-05-02;186.0167236328125
2025-05-05;186.08604431152344
2025-05-06;183.91720581054688
2025-05-07;184.74908447265625
2025-05-08;187.6706085205078
2025-05-09;185.9473876953125
2025-05-12;198.01971435546875
2025-05-13;199.09918212890625
2025-05-14;195.3358917236328
2025-05-15;195.59336853027344
2025-05-16;195.3160858154297
2025-05-19;195.50424194335938
2025-05-20;194.05833435058594
2025-05-21;185.1254119873047
2025-05-22;186.7396697998047
2025-05-23;183.8783721923828
2025-05-27;190.80313110351562
2025-05-28;189.8394317626953
2025-05-29;189.521484375
2025-05-30;187.9219512939453
2025-06-02;190.21694946289062
2025-06-03;194.35987854003906
2025-06-04;191.6078643798828
2025-06-05;190.75344848632812
2025-06-06;196.8535919189453
2025-06-09;197.6980743408203
2025-06-10;199.6950225830078
2025-06-11;199.22805786132812
2025-06-12;196.3965606689453
2025-06-13;191.57806396484375
2025-06-16;196.3369598388672
2025-06-17;192.66098022460938
2025-06-18;195.889892578125
